id;course_id;grade
36;6;10.7
36;6;7.9
36;6;10.3
36;6;8.5
36;6;8.2
36;6;10.3
36;5;14
36;5;15
36;5;12.5
36;5;12.5
36;10;11.5
36;10;8
36;10;12.5
36;3;15.5
36;3;13
36;3;9
36;3;11.5
36;3;7.5
36;3;7.5
36;4;8.75
36;4;11.25
36;4;9.5
36;4;6.5
36;4;11.75
36;4;8.25
36;7;10.5
36;7;10
36;7;8.75
36;7;10
36;7;9
36;2;8
36;2;8
36;2;9
36;2;8
36;2;9
36;2;9
36;2;9
36;8;12
36;8;10
36;8;13
36;8;14
36;8;12.5
36;8;10
36;8;11
36;8;13.5
36;8;12.5
36;8;12
36;1;9
36;1;12
36;1;4.5
36;1;11.5
36;1;9.5
36;1;8
36;9;9
36;9;11
54;6;8.4
54;6;7.2
54;6;9.1
54;6;9.6
54;6;10.3
54;6;9.6
54;5;18
54;5;7
54;5;12.5
54;5;12
54;10;6
54;10;8.5
54;10;10
54;3;12.5
54;3;7
54;3;16
54;3;8.5
54;3;7.5
54;3;11.5
54;4;14.75
54;4;17.25
54;4;4.75
54;4;6.5
54;4;6.25
54;4;9.25
54;7;9.25
54;7;10.5
54;7;9.75
54;2;8
54;2;11
54;2;9
54;2;11
54;2;8
54;2;9
54;2;12
54;2;$
54;8;12
54;8;11.5
54;8;13
54;8;15
54;8;14.5
54;8;11.5
54;8;12
54;8;9.5
54;8;7.5
54;1;9.5
54;1;6
54;1;9
54;1;11.5
54;1;7
54;1;4.5
54;9;10
54;9;8
54;9;11
67;6;9.6
67;6;9.2
67;6;8.7
67;6;11.8
67;6;8.3
67;6;10.2
67;5;16
67;5;15.5
67;5;13.5
67;5;11.5
67;10;12
67;10;10.5
67;10;12.5
67;3;10
67;3;15
67;3;12
67;3;$
67;3;10
67;3;13
67;4;9.75
67;4;9.75
67;4;7
67;4;4.25
67;4;8.75
67;4;3.75
67;7;10.5
67;7;8.25
67;7;11.5
67;7;8
67;7;12.5
67;2;9
67;2;8
67;2;11
67;2;10
67;2;9
67;2;10
67;2;10
67;2;11
67;8;10
67;8;12
67;8;12.5
67;8;12.5
67;8;13.5
67;8;13
67;8;13
67;8;12.5
67;8;13
67;8;14
67;1;13
67;1;9.5
67;1;10
67;1;5.5
67;1;13
67;1;9.5
67;9;10
67;9;12
67;9;11
82;6;10.2
82;6;10.3
82;6;8.1
82;6;9.6
82;6;8.9
82;6;10.1
82;5;8.5
82;5;7
82;5;10.5
82;5;10
82;10;11
82;10;10.5
82;10;8.5
82;3;7.5
82;3;11
82;3;11
82;3;9.5
82;3;13.5
82;3;15
82;4;1.75
82;4;2
82;4;11.5
82;4;8.25
82;4;4
